"ENTRY","MEASURE","STATUS","COUNT","SCORE","ERROR","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PTME","WEIGHT","OBSMATCH","EXPMATCH","DISCRIM","LOWER","UPPER","PVALUE","PTME-E","RMSR","GROUPING","MODEL","RECODE","NAME"
1,-.89,1,75.0000,109.0000,.23,.7346,-1.9293,.6673,-1.8293,.00,.6377,1.0000,74.324,66.463,1.3915,.0000,2.0000,1.4533,.4755,.4276,"0","R",".","WATCH BIRDS"
2,-.61,1,75.0000,116.0000,.20,.7550,-1.4892,.5587,-1.4394,.00,.5797,1.0000,72.973,62.543,1.3125,.7125,2.0000,1.5467,.4611,.5011,"0","R",".","READ BOOKS ON ANIMALS"
3,.28,1,75.0000,88.0000,.20,.6557,-2.6293,.6228,-2.5094,.00,.7198,1.0000,74.324,60.378,1.5696,.0000,2.0000,1.1733,.5452,.4700,"0","R",".","READ BOOKS ON PLANTS"
4,1.80,1,75.0000,52.0000,.21,.9887,-.0290,.9838,-.0490,.00,.6026,1.0000,71.622,61.478,1.0265,.0000,2.0000,.6933,.5942,.5395,"0","R",".","WATCH GRASS CHANGE"
5,2.19,1,75.0000,37.0000,.22,2.2850,5.2823,3.9781,6.9840,.00,.0514,1.0000,52.703,68.684,-.4349,.4981,2.0000,.4933,.6286,.8100,"0","R",".","FIND BOTTLES AND CANS"
6,.16,1,75.0000,91.0000,.20,.8814,-.7891,.8223,-1.0092,.00,.6073,1.0000,68.919,60.284,1.2270,.0000,2.0000,1.2133,.5385,.5454,"0","R",".","LOOK UP STRANGE ANIMAL OR PLANT"
7,.99,1,75.0000,69.0000,.19,.9690,-.1690,1.0050,.0810,.00,.5929,1.0000,52.703,55.196,1.0125,.2387,2.0000,.9200,.5899,.6001,"0","R",".","WATCH ANIMAL MOVE"
8,1.64,1,75.0000,54.0000,.21,1.1690,1.1412,1.2333,1.4112,.00,.5072,1.0000,45.946,60.164,.6933,.3262,2.0000,.7200,.6007,.6080,"0","R",".","LOOK IN SIDEWALK CRACKS"
9,.60,1,75.0000,80.0000,.18,1.1133,.8311,1.1339,.7611,.00,.5289,1.0000,56.757,54.546,.8021,.0000,2.0000,1.0667,.5730,.6696,"0","R",".","LEARN WEED NAMES"
10,-1.57,1,75.0000,130.0000,.26,.7763,-1.0892,.5622,-1.1394,.00,.4990,1.0000,78.378,77.032,1.2148,.0000,2.0000,1.7333,.3766,.3955,"0","R",".","LISTEN TO BIRD SING"
11,-1.37,1,75.0000,121.0000,.24,.7296,-1.8293,.5885,-1.6794,.00,.5940,1.0000,85.135,68.062,1.3906,.0000,2.0000,1.6133,.4260,.4090,"0","R",".","FIND WHERE ANIMAL LIVES"
12,-1.14,1,75.0000,137.0000,.33,.8203,-.9392,.5782,-.9294,.00,.4459,1.0000,86.486,83.109,1.2309,.0000,1.0000,1.8267,.3136,.3210,"0","R",".","GO TO MUSEUM"
13,-.90,1,75.0000,127.0000,.22,.8460,-.6392,.6985,-.4393,.00,.4664,1.0000,79.730,75.209,1.1012,.0000,2.0000,1.6933,.4093,.4963,"0","R",".","GROW GARDEN"
14,.29,1,75.0000,88.0000,.20,.8722,-.8791,.8048,-1.1392,.00,.6193,1.0000,67.568,59.048,1.2568,.0000,2.0000,1.1733,.5476,.5541,"0","R",".","LOOK AT PICTURES OF PLANTS"
15,-.56,1,75.0000,111.0000,.21,.7504,-1.6692,.6061,-1.6894,.00,.6126,1.0000,72.973,61.848,1.4003,.0000,2.0000,1.4800,.4779,.4882,"0","R",".","READ ANIMAL STORIES"
16,.47,1,75.0000,83.0000,.20,1.0921,.6511,1.0499,.3610,.00,.5125,1.0000,59.459,61.507,.8823,.0749,2.0000,1.1067,.5527,.5928,"0","R",".","MAKE A MAP"
17,.05,1,75.0000,95.0000,.19,.6625,-2.5993,.5993,-2.3594,.00,.6955,1.0000,71.622,58.841,1.6020,.0000,2.0000,1.2667,.5311,.4856,"0","R",".","WATCH WHAT ANIMALS EAT"
18,-2.26,1,75.0000,145.0000,.41,1.2258,.5812,1.1784,.5012,.00,.1420,1.0000,93.243,94.000,.9263,.0000,1.9930,1.9333,.2192,.3136,"0","R",".","GO ON PICNIC"
19,-2.16,1,75.0000,141.0000,.34,.9708,.0310,1.0982,.3611,.00,.2960,1.0000,90.541,88.461,1.0221,.0000,2.0000,1.8800,.2768,.3351,"0","R",".","GO TO ZOO"
20,1.75,1,75.0000,50.0000,.21,1.3538,2.1314,1.7956,3.7118,.00,.4234,1.0000,54.054,61.359,.3908,.3915,2.0000,.6667,.6112,.6589,"0","R",".","WATCH BUGS"
21,-.80,1,75.0000,119.0000,.21,.7346,-1.5793,.5472,-1.5095,.00,.5790,1.0000,75.676,65.380,1.3269,.0000,2.0000,1.5867,.4451,.4682,"0","R",".","WATCH BIRD MAKE NEST"
22,-.01,1,75.0000,97.0000,.19,.8043,-1.3992,.7131,-1.4793,.00,.6296,1.0000,71.622,57.840,1.3883,.0000,2.0000,1.2933,.5266,.5410,"0","R",".","FIND OUT WHAT ANIMALS EAT"
23,1.95,1,75.0000,42.0000,.21,2.3637,5.8124,4.6519,8.5447,.00,-.0032,1.0000,39.189,65.128,-.7281,.6718,1.7020,.5600,.6290,.8657,"0","R",".","WATCH A RAT"
24,-.32,1,75.0000,107.0000,.19,.7918,-1.4092,.6921,-1.2193,.00,.5934,1.0000,70.270,59.931,1.3268,.0000,2.0000,1.4267,.4960,.5339,"0","R",".","FIND OUT WHAT FLOWERS LIVE ON"
25,.42,1,75.0000,85.0000,.19,.7830,-1.6192,.7214,-1.6693,.00,.6617,1.0000,66.216,56.897,1.4261,.0067,2.0000,1.1333,.5583,.5446,"0","R",".","TALK W/FRIENDS ABOUT PLANTS"
